类别	楼名
食堂	下安食堂
宿舍楼	桃1
宿舍楼	桃2
宿舍楼	桃3
教学楼	诚D
宿舍楼	桃7
宿舍楼	桃8
宿舍楼	桃6
宿舍楼	桃5
宿舍楼	桃4
教学楼	诚C
教学楼	诚A
教学楼	诚B
实验楼	实验楼A
实验楼	实验楼B
实验楼	实验楼C
其他	下安体育馆
其他	游泳池
图书馆	逸夫图书馆
教学楼	田家炳
教学楼	创新楼
 
 
办公楼	博学楼
 
其他	蜂疗医院
办公楼	作物楼
办公楼	园艺楼
办公楼	生物楼
办公楼	生科楼
教学楼	禧强楼
办公楼	明德楼
教学楼	明南附
教学楼	明北附
教学楼	宝玲楼
办公楼	动科楼
办公楼	经管楼
其他	大阶梯
办公楼	机电楼
图书馆	李常胜图书馆
宿舍楼	北12
宿舍楼	研究生宿舍
宿舍楼	海外学生宿舍
食堂	北区食堂
办公楼	校团委
宿舍楼	玫瑰园
宿舍楼	北2
宿舍楼	北1
宿舍楼	北13
宿舍楼	北11
其他	华庭大酒店
 
其他	附属幼儿园
 
办公楼	映辉楼
食堂	口语餐厅
办公楼	石仓园
食堂	南区食堂
其他	农行
其他	大学生活动中心
其他	北区学生街
宿舍楼	南3
宿舍楼	南2
宿舍楼	南4
宿舍楼	南1
其他	校医院
宿舍楼	南9
宿舍楼	研究生宿舍
办公楼	食科院
其他	公安局
其他	成教楼
其他	教工宿舍楼
 
其他	农大附小
雕塑	必要的张力
雕塑	拓荒牛
雕塑	金色未来
瀑布	小瀑布
桥梁	春晖桥
亭子	母子亭
亭子	茶人码头
